Comparison	Genus	mean_g1	mean_g2	log2FoldChange	pvalue	p_adj
Group2_vs_Group1	Unclassified	0.009373500004105858	0.057376327148917335	1.214023105669461	0.010528459341067218	0.0643235070691479
Group2_vs_Group1	Rothia	2.7226959187269946e-4	4.7248841172826115e-5	-1.1395584765336986	0.0108361480405939	0.06620332781005178
Group2_vs_Group1	Unclassified	2.9308716244732807e-6	5.0717768845818936e-5	1.7408135022567581	0.011829778614825252	0.07227390292415137
Group2_vs_Group1	Corynebacterium	0.006105153273079486	0.030043489572256183	1.1440416037515013	0.012125228960461419	0.07407895357595773
Group2_vs_Group1	[Eubacterium] ruminantium group	5.417555060188902e-4	8.814800144874977e-5	-1.3678002384282255	0.012249193143685331	0.07483631139609213
Group2_vs_Group1	Solibacillus	2.8525128838537096e-4	5.692120449408434e-6	-1.2987877902951204	0.012832395869302739	0.07839938206282039
Group2_vs_Group1	Romboutsia	7.166381347115488e-4	0.0038877844864008302	1.1624904006237764	0.0158357474522242	0.08091257822304336
Group2_vs_Group1	[Eubacterium] fissicatena group	1.3332523852575777e-4	9.21064105207469e-6	-1.1544328410607352	0.014432821792280249	0.08817716671633992
Group2_vs_Group1	Catenibacterium	0.010094248670231053	0.0035714872005886337	-1.1434016825872637	0.014961324060141421	0.09140604553531657
Group2_vs_Group1	Intestinimonas	9.019861580407214e-4	2.833464663119176e-4	-1.0597270217461663	0.015542905666340031	0.09495921199070516
Group2_vs_Group1	Lachnospiraceae XPB1014 group	0.005318985683230557	0.0011047637676819394	-1.465805555819641	0.023692575504562875	0.09736437962824014
Group2_vs_Group1	Peptococcus	0.0019777123826243263	0.001151560722815241	-0.9767620635493195	0.016192162002592773	0.09892583646839527
Group2_vs_Group1	Glutamicibacter	7.178801709421813e-4	7.868368329999684e-5	-1.2354625378597193	0.020414359229002834	0.10430694496570792
Group2_vs_Group1	Jonesia	1.4265758527499817e-6	6.160257058360764e-5	1.327228314820247	0.017239342336705432	0.10532357325417845
Group2_vs_Group1	Acidaminococcus	6.159949828419332e-6	1.7842967341936116e-5	1.2500040274878719	0.02143436608519003	0.1095186588294381
